content_key,show_title,category,first_week,last_week,first_cumulative,max_cumulative,right_censored,long_hit,first_rank,first_week_hours,log_first_week_hours,initial_country_reach
Sintonia: Season 2,Sintonia,TV (Non-English),2021-10-31,2021-11-07,1,2,False,0,3,25890000,17.06936739035267,2.0
Sky Rojo: Season 2,Sky Rojo,TV (Non-English),2021-07-25,2021-08-01,1,2,False,0,3,12980000,16.378920346281816,13.0
Somos.: Season 1,Somos.,TV (Non-English),2021-07-04,2021-07-11,1,2,False,0,5,11510000,16.258726867579036,1.0
Sophie: A Murder in West Cork: Limited Series,Sophie: A Murder in West Cork,TV (English),2021-07-04,2021-07-04,1,1,False,0,8,12800000,16.36495580701484,14.0
Sweet Tooth: Season 1,Sweet Tooth,TV (English),2021-07-04,2021-07-11,1,2,False,0,4,21350000,16.876562344477314,36.0
The 100: Season 7,The 100,TV (English),2021-09-05,2021-09-12,1,2,False,0,5,13590000,16.42484485971084,1.0
The Baby-Sitters Club: Season 2,The Baby-Sitters Club,TV (English),2021-10-17,2021-10-17,1,1,False,0,9,17030000,16.650487111358775,14.0
The Chair: Season 1,The Chair,TV (English),2021-08-29,2021-08-29,1,1,False,0,4,14020000,16.45599551089739,19.0
The Chestnut Man: Season 1,The Chestnut Man,TV (Non-English),2021-10-03,2021-10-31,1,5,False,1,2,31380000,17.26168133713659,42.0
The Circle: Season 3,The Circle,TV (English),2021-09-19,2021-09-26,1,2,False,0,8,14350000,16.47926056985631,5.0
The Club: Part 1,The Club,TV (Non-English),2021-11-14,2021-11-14,1,1,False,0,8,7860000,15.877297291631844,1.0
The Cook of Castamar: Season 1,The Cook of Castamar,TV (Non-English),2021-07-11,2021-08-29,1,8,False,1,3,16960000,16.646368247290294,1.0
The Five Juanas: Season 1,The Five Juanas,TV (Non-English),2021-10-10,2021-11-14,1,6,False,1,2,39460000,17.490798083900863,55.0
The Girl from Oslo: Season 1,The Girl from Oslo,TV (Non-English),2021-12-26,2022-01-02,1,2,False,0,4,19780000,16.800181934714956,36.0
The Good Doctor: Season 1,The Good Doctor,TV (English),2021-07-18,2021-08-22,1,6,False,1,7,18980000,16.758896403833095,1.0
The Good Doctor: Season 2,The Good Doctor,TV (English),2021-08-01,2021-08-01,1,1,False,0,10,13240000,16.398753184001833,1.0
The King's Affection: Season 1,The King's Affection,TV (Non-English),2021-10-24,2021-12-26,1,10,False,1,10,6950000,15.754252361425857,7.0
The Queen of Flow: Season 1,The Queen of Flow,TV (Non-English),2021-11-21,2022-01-02,1,7,False,1,8,8810000,15.991398111419734,1.0
The Seven Deadly Sins: Dragon's Judgement,The Seven Deadly Sins,TV (Non-English),2021-07-04,2021-10-03,1,4,False,1,2,33240000,17.31926455803576,66.0
The Silent Sea: Season 1,The Silent Sea,TV (Non-English),2021-12-26,2022-01-09,1,3,False,0,3,22230000,16.916953330924635,24.0
The Snitch Cartel: Origins: Season 1,The Snitch Cartel: Origins,TV (Non-English),2021-08-01,2021-09-05,1,6,False,1,5,15150000,16.533511155926252,17.0
The Walking Dead: Season 10,The Walking Dead,TV (English),2021-08-01,2021-08-01,1,1,False,0,9,15050000,16.52688861560434,1.0
